name.x,date,year,word,n.x,total.x,idf.x,tf_idf.x,source.x,tf.x,name.y,n.y,total.y,idf.y,tf_idf.y,source.y,tf.y,sentiment
The Primacy of Race in the Geography of Income‐Based Voting,2015-03-13,2015,income,141,3011,1.0450429964758627,0.0489375830299225,APSA,0.04682829624709399,Vested Interests and Political Institutions,2,6092,1.0450429964758627,3.4308699818642895e-4,PSQ,3.2829940906106366e-4,economic
Unlikely Democrats,2016-09-19,2016,economic,98,4861,0.5544699789820188,0.011178370281883942,APSA,0.020160460810532813,"Democracy, Elite Bias, and Redistribution in Latin America",36,4346,0.5544699789820188,0.004592940460964721,PSQ,0.008283479061205707,economic
Unlikely Democrats,2016-09-19,2016,economic,98,4861,0.5544699789820188,0.011178370281883942,APSA,0.020160460810532813,The Causes and Effects of International Treaties,6,2889,0.5544699789820188,0.0011515472045317107,PSQ,0.0020768431983385254,economic
Unlikely Democrats,2016-09-19,2016,economic,98,4861,0.5544699789820188,0.011178370281883942,APSA,0.020160460810532813,Intelligence and the Iraq and Afghanistan Wars,1,4334,0.5544699789820188,1.279349282376601e-4,PSQ,2.3073373327180433e-4,economic
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,violence,83,3044,1.9347941731154055,0.05275555728271309,APSA,0.027266754270696452,"International Influence, Domestic Activism, and Gay Rights in Argentina",5,5826,1.9347941731154055,0.0016604824692030599,PSQ,8.582217645039478e-4,security
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,violence,83,3044,1.9347941731154055,0.05275555728271309,APSA,0.027266754270696452,Did Bush Democratize the Middle East? The Effects of External–Internal Linkages,1,4735,1.9347941731154055,4.086154536674563e-4,PSQ,2.1119324181626187e-4,security
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,violence,83,3044,1.9347941731154055,0.05275555728271309,APSA,0.027266754270696452,Philosophical Pragmatism and the Constitutional Watershed of 1912,1,6044,1.9347941731154055,3.201181623288229e-4,PSQ,1.6545334215751158e-4,security
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,conflict,57,3462,0.8891474200272084,0.014639342270811923,APSA,0.016464471403812825,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",2,2713,0.8891474200272084,6.55471743477485e-4,PSQ,7.371913011426465e-4,security
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,Intelligence and the Iraq and Afghanistan Wars,19,4334,1.3450253470092952,0.005896511673552518,PSQ,0.004383940932164283,security
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,Decision Making in Using Assassinations in International Relations,17,5254,1.3450253470092952,0.004352004358423681,PSQ,0.0032356299961933763,security
