County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Alameda,2008,-4.36,0,70217,NA,NA,1.1816666666666666
Alameda,2009,-1.5,0,68258,NA,NA,1.4433333333333334
Alameda,2010,1.61,0,66937,2.61,9.39,1.9308333333333334
Alameda,2011,2.69,0,67295,NA,NA,1.2108333333333334
Alameda,2012,-1.22,0,70209,NA,NA,1.7316666666666667
Alameda,2013,-3.53,0,72128,NA,NA,0.42333333333333334
Alameda,2014,-5.07,0,76996,NA,NA,1.6566666666666667
Alameda,2015,-3.25,0,81462,0,10.61,0.8658333333333333
Alameda,2016,1.83,0,89472,NA,NA,1.8791666666666667
Alpine,2008,-3.57,1,49320,NA,NA,2.5475
Alpine,2009,-0.47,1,45391,NA,NA,2.8241666666666667
Alpine,2010,2.83,1,44241,0.05,1.62,4.1241666666666665
Alpine,2011,2.64,1,46706,NA,NA,2.7983333333333333
Alpine,2012,-2.65,1,46336,NA,NA,2.970833333333333
Alpine,2013,-3.13,1,49392,NA,NA,1.1291666666666667
Alpine,2014,-3,1,53003,NA,NA,2.4483333333333333
Alpine,2015,-1.08,1,50882,3.74,3.74,2.53
Alpine,2016,1.91,1,57481,NA,NA,3.3024999999999998
Amador,2008,-4.15,1,53951,NA,NA,2.0858333333333334
Amador,2009,-2,1,54461,NA,NA,2.55
Amador,2010,3.06,1,49516,1.5,7.61,4.339166666666666
Amador,2011,3.49,1,51553,NA,NA,2.7608333333333333
Amador,2012,-0.57,1,51388,NA,NA,3.3833333333333333
Amador,2013,-2.86,1,52357,NA,NA,1.0208333333333333
Amador,2014,-3.25,1,54610,NA,NA,2.6075
Amador,2015,-2.31,1,55879,1.74,8.82,2.2216666666666667
Amador,2016,2.81,1,59789,NA,NA,3.4175
Butte,2008,-4.66,1,40308,NA,NA,2.4816666666666665
Butte,2009,-2.28,1,41196,NA,NA,2.9741666666666666
Butte,2010,1.96,1,41168,56.77,221.22,4.825
Butte,2011,3.09,1,39208,NA,NA,3.2275
Butte,2012,-1.05,1,40748,NA,NA,4.455
Butte,2013,-2.93,1,42395,NA,NA,1.0158333333333334
Butte,2014,-3.62,1,42302,NA,NA,3.643333333333333
Butte,2015,-4.82,1,45369,18.67,223.95,1.7283333333333333
Butte,2016,1.2,1,45097,NA,NA,4.663333333333333
Calaveras,2008,-4.25,1,52850,NA,NA,2.11
Calaveras,2009,-1.94,1,51564,NA,NA,2.4683333333333333
Calaveras,2010,3.62,1,50745,1.96,4.3,4.2283333333333335
Calaveras,2011,3.87,1,50599,NA,NA,2.6758333333333333
Calaveras,2012,-1.38,1,50962,NA,NA,3.1491666666666664
Calaveras,2013,-3.02,1,52598,NA,NA,0.9283333333333333
Calaveras,2014,-3.64,1,53321,NA,NA,2.4633333333333334
Calaveras,2015,-2.72,1,52471,0.12,3.24,2.105
Calaveras,2016,2.38,1,57990,NA,NA,3.3741666666666665
Colusa,2008,-3.67,1,44622,NA,NA,1.7108333333333332
Colusa,2009,-3.24,1,47472,NA,NA,1.5433333333333332
